state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Idaho,0.283,0.094,0.118,0.256,0.121,0.128,2011,2199,56941.1,30635,27027,16102,1510508,0.43,1813,0.083
Illinois,0.256,0.092,0.124,0.28,0.121,0.126,2011,14009,692880.8,86708,668130,1969635,10143310,0.47,30893,0.097
Indiana,0.262,0.091,0.114,0.276,0.127,0.13,2011,6196,291356.1,29357,127108,653888,5706897,0.45,9401,0.09
Iowa,0.251,0.089,0.119,0.264,0.131,0.147,2011,3134,148477.6,16006,65475,111811,2873480,0.43,6447,0.059
Kansas,0.269,0.096,0.115,0.265,0.124,0.131,2011,2511,136358.9,41055,81952,198574,2548096,0.44,5133,0.065
Kentucky,0.25,0.088,0.116,0.28,0.131,0.135,2011,6034,171586.9,12951,60738,372027,3925101,0.47,5548,0.095
Louisiana,0.263,0.1,0.122,0.266,0.124,0.125,2011,9291,229945.0,36798,83024,1505164,2951258,0.48,7235,0.073
Maine,0.214,0.076,0.1,0.293,0.153,0.163,2011,2447,52575.5,10541,15886,20807,1281239,0.45,1265,0.077
Maryland,0.246,0.09,0.119,0.293,0.127,0.125,2011,10208,326281.2,36939,369147,1811405,3622750,0.45,21160,0.073
Massachusetts,0.23,0.089,0.117,0.294,0.131,0.138,2011,16664,425523.0,36040,401302,558462,5618414,0.48,34360,0.073
Michigan,0.246,0.095,0.106,0.28,0.134,0.14,2011,13185,404554.7,86373,279024,1485327,8032329,0.46,22175,0.104
Minnesota,0.254,0.088,0.123,0.28,0.125,0.129,2011,7495,287039.3,79665,244600,324926,4697429,0.44,12203,0.065
Mississippi,0.271,0.095,0.112,0.269,0.124,0.13,2011,2306,96218.0,17717,31615,1123666,1806149,0.47,2450,0.105
Missouri,0.25,0.09,0.118,0.273,0.129,0.141,2011,8989,262067.1,39603,123053,740839,5107687,0.46,9118,0.084
Montana,0.234,0.094,0.113,0.261,0.149,0.15,2011,1768,40995.1,70499,8747,7902,910370,0.44,617,0.066
Nebraska,0.264,0.096,0.117,0.265,0.125,0.134,2011,3548,99921.1,26793,39959,98658,1675504,0.45,2255,0.045
Nevada,0.256,0.092,0.125,0.279,0.122,0.126,2011,9150,127677.9,50418,248981,261092,2152623,0.45,1101,0.132
New Hampshire,0.227,0.082,0.099,0.308,0.145,0.139,2011,1469,66153.2,4650,33574,21003,1261217,0.43,3078,0.055
New Jersey,0.246,0.083,0.113,0.298,0.125,0.136,2011,14137,495965.8,59630,804114,1346119,6618689,0.47,34483,0.094
New Mexico,0.267,0.098,0.114,0.254,0.131,0.137,2011,3601,87062.8,224902,40036,59283,1756486,0.48,4176,0.075
New York,0.234,0.097,0.125,0.285,0.125,0.135,2011,63445,1247605.8,217857,1613891,3561342,14106831,0.5,87332,0.083
North Carolina,0.256,0.089,0.115,0.283,0.126,0.132,2011,12896,431722.7,159348,255669,2189304,7054592,0.47,10843,0.102
North Dakota,0.237,0.115,0.12,0.254,0.131,0.142,2011,603,41587.7,40228,8746,11676,624876,0.44,1209,0.035
Ohio,0.248,0.088,0.112,0.278,0.134,0.141,2011,13030,528189.9,39513,228314,1523957,9753951,0.46,15512,0.086
Oklahoma,0.266,0.092,0.12,0.262,0.124,0.137,2011,4625,166235.8,395784,84090,324890,2984060,0.46,7029,0.059
Oregon,0.233,0.092,0.124,0.269,0.138,0.143,2011,17254,170630.9,83098,188963,97337,3503274,0.46,10740,0.096
Pennsylvania,0.232,0.088,0.108,0.282,0.136,0.155,2011,15096,624819.7,48883,401473,1529622,10767074,0.46,28385,0.079
Rhode Island,0.224,0.097,0.111,0.288,0.135,0.144,2011,1070,50206.1,10829,37377,87033,918590,0.47,4585,0.112
South Carolina,0.248,0.093,0.11,0.273,0.134,0.141,2011,5093,172075.1,27065,74124,1340554,3230912,0.46,3404,0.104
South Dakota,0.263,0.091,0.115,0.26,0.127,0.145,2011,826,41892.1,78477,9686,14780,720797,0.43,1369,0.048
Tennessee,0.247,0.09,0.117,0.279,0.131,0.137,2011,9113,269814.2,28954,112889,1114123,5144332,0.48,9350,0.093
Texas,0.29,0.098,0.127,0.273,0.108,0.105,2011,36911,1341334.4,282087,1148678,3234968,20979771,0.48,69106,0.079
Utah,0.33,0.111,0.142,0.233,0.092,0.092,2011,3130,125565.0,46979,98240,43884,2625694,0.42,2900,0.069
Vermont,0.213,0.084,0.102,0.293,0.156,0.152,2011,1144,28418.7,3059,9406,8921,605811,0.43,1295,0.056
Virginia,0.247,0.091,0.12,0.289,0.127,0.126,2011,8816,435180.3,47269,514284,1660329,5880555,0.46,23466,0.064
Washington,0.245,0.092,0.126,0.28,0.131,0.126,2011,20439,379574.9,151778,614495,323849,5737357,0.44,20171,0.092
West Virginia,0.22,0.088,0.105,0.275,0.15,0.162,2011,2211,69234.1,4234,15414,72448,1764510,0.47,2133,0.078
Wisconsin,0.247,0.09,0.114,0.28,0.132,0.137,2011,5785,266364.4,69134,148087,400905,5087714,0.44,4390,0.075
Wyoming,0.251,0.094,0.127,0.262,0.14,0.126,2011,1038,39751.4,16219,5889,7435,537948,0.41,-85,0.061
Alabama,0.249,0.095,0.112,0.27,0.13,0.144,2012,5209,189245.5,35831,70718,1298786,3411297,0.47,6282,0.073
Alaska,0.27,0.106,0.129,0.278,0.134,0.085,2012,1913,58283.6,123496,55865,34085,517364,0.42,2482,0.07
Arizona,0.262,0.095,0.118,0.257,0.119,0.151,2012,11302,271440.0,371744,246269,337789,5600542,0.46,15673,0.083
Arkansas,0.255,0.091,0.117,0.263,0.126,0.149,2012,4214,108492.1,30389,53559,473397,2395531,0.46,4017,0.073
California,0.258,0.103,0.127,0.277,0.115,0.121,2012,120098,2113096.4,752532,5797634,2757917,28636468,0.48,95561,0.105
Colorado,0.252,0.095,0.129,0.279,0.126,0.118,2012,16768,276823.1,96581,186201,259425,4651453,0.46,11747,0.08
Connecticut,0.238,0.084,0.106,0.293,0.133,0.147,2012,4209,240911.9,21307,163228,428470,2982206,0.49,16211,0.084
Delaware,0.238,0.094,0.109,0.273,0.131,0.155,2012,1008,62354.6,6565,34430,211844,662679,0.44,1352,0.071
District of Columbia,0.192,0.108,0.207,0.266,0.111,0.116,2012,6954,112157.0,4302,27272,325718,278445,,3610,
Florida,0.22,0.09,0.109,0.269,0.13,0.182,2012,55170,778545.0,104360,580530,3328039,15289087,0.48,100592,0.086
Georgia,0.269,0.094,0.121,0.284,0.117,0.115,2012,20516,447764.7,55263,386984,3172134,6289199,0.48,22454,0.09
Hawaii,0.237,0.087,0.122,0.263,0.135,0.155,2012,6246,71905.3,6174,929390,38083,421552,0.43,10284,0.058
Idaho,0.281,0.095,0.116,0.254,0.123,0.132,2012,1968,58323.9,31080,27863,16492,1520475,0.43,1756,0.071
Illinois,0.253,0.093,0.124,0.277,0.123,0.13,2012,14144,726399.1,87219,690741,1971390,10133679,0.47,27408,0.089
Indiana,0.259,0.092,0.116,0.272,0.127,0.135,2012,6259,300513.9,29755,135282,661082,5712870,0.44,11135,0.084
Iowa,0.25,0.093,0.116,0.261,0.131,0.15,2012,2928,158538.4,16340,69609,114912,2875983,0.43,4314,0.052
Kansas,0.267,0.095,0.12,0.26,0.125,0.134,2012,2684,141818.2,41501,85068,201933,2557522,0.45,6323,0.057
Kentucky,0.246,0.09,0.115,0.277,0.132,0.14,2012,5230,178143.7,13116,63825,377011,3933913,0.47,8316,0.082
Louisiana,0.26,0.099,0.124,0.262,0.125,0.13,2012,7772,235384.7,37537,84999,1517572,2961959,0.49,4649,0.064
Maine,0.213,0.077,0.102,0.284,0.155,0.17,2012,2393,53679.7,10607,16147,21409,1279931,0.45,656,0.073
Maryland,0.244,0.09,0.122,0.287,0.128,0.129,2012,9454,332523.5,37578,381844,1831405,3637548,0.45,26172,0.068
Massachusetts,0.227,0.088,0.121,0.289,0.132,0.143,2012,17501,442916.9,36960,418842,575220,5633247,0.48,38843,0.067
Michigan,0.243,0.096,0.105,0.275,0.136,0.146,2012,12592,422691.2,87347,291220,1487764,8031958,0.46,24499,0.091
Minnesota,0.252,0.084,0.128,0.275,0.129,0.133,2012,7744,298328.3,80872,253808,334773,4708047,0.44,11609,0.056
Mississippi,0.271,0.098,0.112,0.261,0.124,0.134,2012,2413,100448.4,17954,32079,1128281,1806285,0.49,2310,0.092
Missouri,0.247,0.091,0.119,0.268,0.129,0.146,2012,10237,271535.1,40207,126608,745502,5113710,0.46,7165,0.069
Montana,0.232,0.088,0.111,0.261,0.15,0.157,2012,1833,42340.9,71584,9002,8546,915036,0.45,535,0.06
Nebraska,0.266,0.088,0.122,0.263,0.125,0.136,2012,3789,102725.9,27506,42230,100375,1683580,0.43,3319,0.039
Nevada,0.252,0.093,0.126,0.277,0.122,0.131,2012,8497,129312.9,51324,255941,270950,2166455,0.45,3660,0.111
New Hampshire,0.222,0.082,0.101,0.301,0.148,0.147,2012,1496,68498.1,4715,35465,21969,1262528,0.43,3442,0.055
New Jersey,0.243,0.083,0.114,0.294,0.126,0.139,2012,13025,517195.9,60832,822481,1355802,6606556,0.47,27902,0.095
New Mexico,0.266,0.09,0.119,0.255,0.13,0.141,2012,3245,87925.2,227779,41173,59913,1758850,0.47,3810,0.069
New York,0.232,0.097,0.126,0.28,0.126,0.139,2012,69566,1328233.5,221046,1655799,3584902,14112615,0.5,90304,0.085
North Carolina,0.251,0.09,0.114,0.281,0.126,0.138,2012,13524,445095.3,161715,269933,2219074,7101088,0.47,22624,0.095
North Dakota,0.237,0.112,0.129,0.251,0.132,0.14,2012,688,51832.6,41146,9457,13237,638387,0.46,1295,0.031
Ohio,0.244,0.089,0.111,0.274,0.135,0.146,2012,13977,545740.1,39880,237760,1534900,9738431,0.46,18352,0.072
Oklahoma,0.263,0.094,0.12,0.261,0.123,0.14,2012,5032,174874.4,401244,88345,329097,3000634,0.46,6906,0.052
Oregon,0.233,0.09,0.124,0.267,0.137,0.15,2012,15828,174611.0,84345,195373,99475,3520909,0.46,4676,0.087
Pennsylvania,0.229,0.09,0.11,0.274,0.138,0.159,2012,14736,647925.9,50277,416177,1547344,10755325,0.46,26413,0.079
Rhode Island,0.223,0.098,0.113,0.281,0.134,0.15,2012,1277,51583.0,11226,38554,88342,916771,0.46,4507,0.104
South Carolina,0.247,0.092,0.112,0.269,0.132,0.148,2012,4915,177618.1,27459,77736,1351255,3262577,0.47,6470,0.091
South Dakota,0.261,0.091,0.119,0.251,0.136,0.141,2012,859,43901.5,79748,10928,17090,726093,0.43,2242,0.044
Tennessee,0.246,0.09,0.116,0.276,0.13,0.142,2012,9426,286341.5,29779,117812,1130658,5177503,0.47,8627,0.08
Texas,0.286,0.099,0.128,0.271,0.109,0.109,2012,34052,1421180.1,287835,1206733,3311727,21277825,0.48,84838,0.068
Utah,0.324,0.113,0.142,0.234,0.092,0.095,2012,3527,129512.5,48099,102873,45549,2657625,0.42,5272,0.057
Vermont,0.21,0.088,0.103,0.28,0.157,0.161,2012,1160,29241.3,3041,9690,9121,604509,0.44,337,0.05
Virginia,0.245,0.09,0.123,0.285,0.126,0.132,2012,8424,445973.6,47864,534684,1678037,5926871,0.47,37768,0.059
Washington,0.243,0.092,0.126,0.277,0.131,0.132,2012,20504,400530.6,154960,636874,334507,5772258,0.45,22202,0.082
West Virginia,0.219,0.087,0.106,0.27,0.151,0.167,2012,2410,70322.2,4355,15938,72993,1764160,0.46,1133,0.073
Wisconsin,0.244,0.088,0.116,0.276,0.134,0.142,2012,6027,277107.1,70342,153742,405121,5091620,0.44,6073,0.069
Wyoming,0.249,0.093,0.129,0.259,0.14,0.13,2012,1813,38855.4,16683,6399,9680,543894,0.42,609,0.054
Alabama,0.248,0.094,0.113,0.265,0.131,0.149,2013,4689,194786.9,35862,73272,1308730,3413722,0.48,5494,0.072
Alaska,0.272,0.107,0.136,0.265,0.126,0.094,2013,1946,57247.7,124657,58302,34987,519680,0.41,2995,0.069
Arizona,0.258,0.095,0.119,0.252,0.12,0.155,2013,10562,278591.6,377601,257339,348298,5651452,0.47,18580,0.078
Arkansas,0.255,0.089,0.118,0.259,0.127,0.153,2013,3812,113227.3,30733,55030,476299,2398397,0.47,2627,0.074
California,0.253,0.102,0.129,0.273,0.116,0.126,2013,118552,2220389.9,758069,5942678,2772458,28780563,0.49,113526,0.089
Colorado,0.251,0.095,0.13,0.275,0.127,0.123,2013,9754,292140.5,98696,193424,266716,4711938,0.46,9510,0.068
Connecticut,0.235,0.082,0.111,0.286,0.137,0.15,2013,4448,241517.4,21919,165848,434428,2973597,0.5,11331,0.077
Delaware,0.235,0.087,0.117,0.271,0.133,0.158,2013,946,61716.2,6650,36443,214910,666059,0.45,2504,0.067
District of Columbia,0.187,0.113,0.207,0.266,0.111,0.116,2013,6865,114540.1,4662,28629,331080,287188,,4980,
Florida,0.219,0.089,0.109,0.265,0.131,0.187,2013,47862,811751.7,105996,599542,3390783,15455357,0.48,105369,0.073
Georgia,0.267,0.094,0.119,0.281,0.118,0.12,2013,16971,464752.8,55751,403716,3214685,6301440,0.48,23207,0.082
Hawaii,0.236,0.09,0.121,0.258,0.133,0.162,2013,6335,74554.9,6302,934711,39329,428480,0.44,5873,0.048
Idaho,0.28,0.093,0.116,0.25,0.123,0.139,2013,1781,61835.8,31747,28622,17247,1534437,0.44,2039,0.061
Illinois,0.248,0.094,0.125,0.275,0.125,0.133,2013,13425,741121.5,87500,714379,1973337,10120562,0.48,27738,0.091
Indiana,0.257,0.092,0.115,0.269,0.129,0.138,2013,6096,312138.5,30351,142999,670204,5727021,0.46,9194,0.077
Iowa,0.25,0.091,0.115,0.258,0.134,0.152,2013,3084,162200.3,16937,74904,120478,2881616,0.44,7202,0.048
Kansas,0.265,0.094,0.12,0.254,0.127,0.139,2013,2693,144483.2,41916,88459,203518,2560413,0.46,6080,0.053
Kentucky,0.245,0.092,0.114,0.272,0.133,0.144,2013,5245,184524.4,13308,67420,383151,3943027,0.47,9326,0.08
Louisiana,0.257,0.1,0.126,0.258,0.128,0.131,2013,5226,230832.5,38174,86938,1529992,2970936,0.49,6562,0.067
Maine,0.206,0.08,0.1,0.28,0.158,0.176,2013,3016,54470.1,10664,16638,22110,1279131,0.45,1910,0.066
Maryland,0.241,0.088,0.123,0.284,0.129,0.133,2013,8205,340577.6,38176,392787,1850870,3643364,0.46,21774,0.066
Massachusetts,0.223,0.091,0.122,0.283,0.133,0.148,2013,19029,454321.2,37654,435881,592259,5649364,0.48,37447,0.067
Michigan,0.24,0.096,0.107,0.27,0.139,0.149,2013,11527,437274.4,87902,304416,1487426,8035058,0.46,23793,0.087
Minnesota,0.249,0.087,0.125,0.271,0.131,0.138,2013,8214,311126.4,82327,262780,346476,4723139,0.45,11388,0.049
Mississippi,0.265,0.096,0.113,0.26,0.127,0.139,2013,2403,102371.0,18148,33354,1134074,1804263,0.48,2082,0.087
Missouri,0.244,0.093,0.119,0.264,0.131,0.149,2013,8581,280571.0,40680,130199,751232,5120878,0.46,6101,0.067
Montana,0.234,0.092,0.111,0.25,0.15,0.162,2013,1878,43687.9,72788,9899,8709,922762,0.46,1862,0.054
Nebraska,0.264,0.093,0.123,0.254,0.127,0.14,2013,3145,107260.7,28187,44021,102456,1691149,0.44,3241,0.038
Nevada,0.25,0.091,0.126,0.273,0.122,0.137,2013,7039,132086.4,52122,265256,277584,2181994,0.45,4534,0.095
New Hampshire,0.219,0.082,0.104,0.293,0.15,0.152,2013,1447,70476.2,4804,37057,22625,1262786,0.44,2734,0.051
New Jersey,0.242,0.084,0.114,0.289,0.128,0.143,2013,12002,534177.8,61741,838896,1365829,6591355,0.48,28778,0.082
New Mexico,0.26,0.096,0.115,0.25,0.13,0.149,2013,2819,88756.9,231336,42341,60874,1758282,0.48,5710,0.069
New York,0.229,0.096,0.128,0.277,0.128,0.143,2013,77430,1365529.0,223403,1693363,3608460,14101262,0.51,78010,0.077
North Carolina,0.248,0.091,0.114,0.277,0.127,0.143,2013,12168,462268.9,163680,286446,2250605,7145986,0.48,20169,0.079
North Dakota,0.236,0.124,0.122,0.246,0.132,0.14,2013,2069,54271.0,42324,10397,15871,654557,0.46,1254,0.029
Ohio,0.242,0.089,0.113,0.269,0.137,0.15,2013,12325,566532.4,40556,251123,1551746,9736267,0.47,24896,0.075
Oklahoma,0.262,0.096,0.122,0.255,0.123,0.141,2013,4408,182694.7,407742,93030,334750,3018369,0.46,5987,0.053
Oregon,0.229,0.091,0.121,0.266,0.139,0.154,2013,13822,179527.7,85197,200470,101599,3536844,0.46,3706,0.079
Pennsylvania,0.226,0.089,0.112,0.27,0.14,0.163,2013,15086,668569.1,51578,431961,1563578,10732421,0.47,30378,0.074
Rhode Island,0.217,0.099,0.116,0.277,0.138,0.154,2013,1384,53034.1,11471,39351,90456,914282,0.48,3938,0.093
South Carolina,0.242,0.094,0.112,0.266,0.133,0.153,2013,6544,185009.1,27762,80818,1362552,3295337,0.47,5742,0.076
South Dakota,0.256,0.092,0.12,0.254,0.134,0.145,2013,1094,45361.0,80916,11512,18180,732143,0.44,228,0.038
Tennessee,0.244,0.092,0.116,0.272,0.131,0.146,2013,9528,295862.7,30385,122650,1141927,5201981,0.48,10586,0.078
Texas,0.283,0.099,0.128,0.268,0.11,0.112,2013,29615,1515195.6,293743,1267716,3386034,21532153,0.48,79571,0.062
Utah,0.326,0.11,0.137,0.237,0.093,0.098,2013,3277,135450.4,49205,106845,47142,2695581,0.43,3545,0.047
Vermont,0.215,0.079,0.106,0.279,0.156,0.167,2013,1454,29289.6,3040,10024,9458,604081,0.45,432,0.044
Virginia,0.243,0.09,0.122,0.281,0.128,0.136,2013,7625,457640.5,48540,552117,1694873,5960331,0.47,26352,0.057
Washington,0.241,0.091,0.128,0.272,0.131,0.137,2013,17760,419092.4,157968,659522,343356,5805406,0.46,19729,0.07
West Virginia,0.217,0.087,0.106,0.267,0.151,0.173,2013,2240,71481.5,4440,16305,73811,1760212,0.46,885,0.067
Wisconsin,0.241,0.089,0.116,0.271,0.136,0.147,2013,6104,284270.9,71388,160923,408892,5096809,0.44,8235,0.068
Wyoming,0.251,0.097,0.131,0.248,0.14,0.133,2013,953,39289.8,17008,6641,10701,548270,0.42,594,0.047
Alabama,0.243,0.094,0.113,0.263,0.133,0.154,2014,4561,197406.9,36048,75449,1316194,3416046,0.48,4159,0.068
Alaska,0.272,0.109,0.131,0.261,0.131,0.096,2014,1784,56484.9,125581,59232,34958,517304,0.42,1343,0.068
Arizona,0.255,0.096,0.117,0.251,0.12,0.161,2014,10495,287666.6,383884,269582,360255,5719152,0.47,21867,0.069
Arkansas,0.256,0.089,0.115,0.258,0.127,0.156,2014,2936,116139.4,31243,57005,478955,2401556,0.47,3424,0.061
California,0.25,0.101,0.131,0.271,0.118,0.129,2014,113952,2335286.5,764102,6097929,2793879,28930796,0.49,127975,0.075
Colorado,0.247,0.094,0.133,0.271,0.127,0.128,2014,10028,309542.6,100708,200939,274825,4776165,0.46,10182,0.05
Connecticut,0.231,0.084,0.11,0.283,0.139,0.154,2014,4450,246597.0,22404,172025,439150,2962118,0.5,18386,0.066
Delaware,0.234,0.093,0.112,0.261,0.137,0.164,2014,901,68354.7,6695,37921,218518,669997,0.45,1901,0.057
District of Columbia,0.188,0.104,0.213,0.271,0.109,0.115,2014,7748,119414.6,4793,29691,334100,295019,,5460,
Florida,0.217,0.088,0.111,0.261,0.131,0.192,2014,41542,851692.4,108534,620390,3459222,15665734,0.48,114339,0.063
Georgia,0.264,0.094,0.121,0.278,0.119,0.124,2014,16521,490079.3,56467,419237,3267909,6327591,0.48,17777,0.072
Hawaii,0.233,0.087,0.126,0.256,0.132,0.167,2014,6918,76773.3,6455,937092,40423,431365,0.43,4071,0.044
Idaho,0.278,0.094,0.114,0.246,0.124,0.144,2014,2104,64575.2,32356,29718,18025,1552149,0.45,1589,0.048
Illinois,0.246,0.093,0.124,0.272,0.128,0.137,2014,13107,771356.1,87926,733099,1972128,10091939,0.48,28923,0.071
Indiana,0.254,0.093,0.116,0.266,0.13,0.142,2014,5971,327958.3,30802,150495,678368,5736354,0.45,10133,0.06
Iowa,0.248,0.09,0.116,0.255,0.134,0.156,2014,3122,173095.9,17413,80031,126280,2886919,0.44,7093,0.044
Kansas,0.266,0.095,0.119,0.251,0.128,0.141,2014,2783,150183.6,42145,91737,205272,2562707,0.46,6873,0.045
Kentucky,0.243,0.091,0.113,0.271,0.134,0.148,2014,5089,187983.8,13526,69753,386702,3947011,0.47,5447,0.065
Louisiana,0.256,0.098,0.126,0.256,0.128,0.136,2014,4606,240737.3,38836,88304,1539740,2979058,0.49,5096,0.064
Maine,0.204,0.079,0.102,0.274,0.16,0.182,2014,2726,56410.8,10808,17368,23306,1279735,0.46,3172,0.057
Maryland,0.24,0.089,0.124,0.28,0.131,0.137,2014,7856,352761.3,39041,403924,1871391,3645708,0.45,23752,0.058
Massachusetts,0.221,0.092,0.123,0.279,0.135,0.15,2014,21237,470468.5,38311,454013,608738,5663802,0.49,44485,0.058
Michigan,0.236,0.096,0.109,0.265,0.14,0.154,2014,12227,451773.2,88632,317286,1489035,8037080,0.46,23685,0.073
Minnesota,0.247,0.087,0.127,0.266,0.133,0.14,2014,8377,324751.4,83262,272913,360722,4735768,0.45,16291,0.041
Mississippi,0.263,0.094,0.112,0.259,0.128,0.144,2014,2226,104300.3,18389,34378,1138118,1801007,0.48,2922,0.078
Missouri,0.243,0.091,0.12,0.261,0.133,0.152,2014,7282,287507.5,41504,134651,755894,5127081,0.46,6917,0.061
Montana,0.231,0.096,0.111,0.245,0.151,0.167,2014,1745,45177.2,73839,10340,8934,929544,0.45,817,0.047
